Series_reference,Period,Data_value,STATUS_status,UNITS_units,Subject_subject,Group_grp,Series_title_1,UniqueNumber
CPIQ.SE901,1937.06,18.30996733,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,93
CPIQ.SE901,1937.09,18.4062348,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,94
CPIQ.SE901,1937.12,19.29188982,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,95
CPIQ.SE901,1938.03,18.96458283,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,96
CPIQ.SE901,1938.06,19.1956231,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,97
CPIQ.SE901,1938.09,18.96458283,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,98
CPIQ.SE901,1938.12,18.96458283,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,99
CPIQ.SE901,1939.03,19.59994453,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,100
CPIQ.SE901,1939.06,20.0042652,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,101
CPIQ.SE901,1939.09,20.40858663,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,102
CPIQ.SE901,1939.12,21.67930927,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,103
CPIQ.SE901,1940.03,20.48559954,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,104
CPIQ.SE901,1940.06,20.75514742,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,105
CPIQ.SE901,1940.09,20.60112006,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,106
CPIQ.SE901,1940.12,20.92842781,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,107
CPIQ.SE901,1941.03,20.73589362,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,108
CPIQ.SE901,1941.06,20.96693465,FINAL,Index,CPI,CPI Level 1 Groups for New Zealand,Food,109
